offset,weight,cost,method,day,exposure,return_pct
0,0.05,0.2,high,2023-12-04,0.25,-0.049770112455282955
0,0.05,0.2,high,2024-01-04,0.25,1.2451940793338334
0,0.05,0.2,high,2024-02-05,0.25,0.5694061862762556
0,0.05,0.2,high,2024-03-06,0.25,-2.260084304636023
0,0.05,0.2,high,2024-04-05,0.25,-1.3160691942386116
0,0.05,0.2,high,2024-05-06,0.25,0.7330718101225875
0,0.05,0.2,high,2024-06-05,0.25,-0.8333705103402145
0,0.05,0.2,high,2024-07-08,0.25,-4.001772737966814
0,0.05,0.2,high,2024-08-06,0.25,1.4234473795744051
0,0.05,0.2,high,2024-09-05,0.25,0.1138536172935023
0,0.05,0.2,high,2024-10-04,0.25,-0.2361742065647321
0,0.05,0.2,high,2024-11-04,0.25,1.1919727782631284
0,0.05,0.2,high,2024-12-04,0.25,-1.3609277496984817
0,0.05,0.2,high,2025-01-06,0.25,-0.0958735159419799
0,0.05,0.2,high,2025-02-06,0.25,-2.1431051287529423
0,0.05,0.2,high,2025-03-10,0.0,0.0
0,0.05,0.2,high,2025-04-08,0.0,0.0
0,0.05,0.2,high,2025-05-08,0.0,0.0
0,0.05,0.2,high,2025-06-09,0.25,2.603018069418783
0,0.05,0.2,high,2025-07-10,0.25,0.4569846767744412
0,0.05,0.2,high,2025-08-08,0.25,0.6273082179803158
0,0.05,0.2,high,2025-09-09,0.25,1.5443849522515096
0,0.05,0.2,high,2025-10-08,0.25,-1.4035501273460094
0,0.05,0.2,high,2025-11-06,0.25,0.20246897588749313
0,0.05,0.2,high,2025-12-08,0.25,2.0307817051400168
0,0.05,0.2,high,2026-01-08,0.25,0.29543872162363094
0,0.05,0.2,high,2026-02-09,0.25,-0.5377924021765734
0,0.05,0.2,high,2026-03-11,0.25,0.472691527841973
0,0.05,0.2,high,2026-04-10,0.25,0.6249024377809498
0,0.05,0.2,high,2026-05-11,0.25,-0.021134795581589927
0,0.05,0.2,high,2026-06-10,0.25,0.7622880183420166
0,0.05,0.2,high,2026-07-13,0.25,-0.5594720463133918
0,0.05,0.2,momentum,2016-06-30,0.25,3.470564496824169
0,0.05,0.2,momentum,2016-08-01,0.25,0.47488542675633294
0,0.05,0.2,momentum,2016-08-30,0.25,-0.255006098930155
0,0.05,0.2,momentum,2016-09-29,0.25,0.27673491223649815
0,0.05,0.2,momentum,2016-10-28,0.25,3.367440096971608
0,0.05,0.2,momentum,2016-11-29,0.25,2.0945261441195573
0,0.05,0.2,momentum,2016-12-29,0.25,0.7417026221402168
0,0.05,0.2,momentum,2017-01-31,0.25,1.7302325074043168
0,0.05,0.2,momentum,2017-03-02,0.25,1.195118743384871
0,0.05,0.2,momentum,2017-03-31,0.25,-1.2266080486072695
0,0.05,0.2,momentum,2017-05-02,0.25,3.308544503144928
0,0.05,0.2,momentum,2017-06-01,0.25,0.5425643363964117
0,0.05,0.2,momentum,2017-06-30,0.25,1.3115943527033158
0,0.05,0.2,momentum,2017-08-01,0.25,0.7767700059148064
0,0.05,0.2,momentum,2017-08-30,0.25,1.1912911138086457
0,0.05,0.2,momentum,2017-09-29,0.25,2.2667975028956455
0,0.05,0.2,momentum,2017-10-30,0.25,2.892613445983594
0,0.05,0.2,momentum,2017-11-29,0.25,0.6766797109308165
0,0.05,0.2,momentum,2017-12-29,0.25,1.9608314478675393
0,0.05,0.2,momentum,2018-01-31,0.25,0.569974488430014
0,0.05,0.2,momentum,2018-03-02,0.25,-0.025719630207798883
0,0.05,0.2,momentum,2018-04-03,0.25,1.2246052597766566
0,0.05,0.2,momentum,2018-05-02,0.25,4.1355796594002125
0,0.05,0.2,momentum,2018-06-01,0.25,-1.233558637005916
0,0.05,0.2,momentum,2018-07-02,0.25,-1.7645846167437473
0,0.05,0.2,momentum,2018-08-01,0.25,3.145821271861937
0,0.05,0.2,momentum,2018-08-30,0.25,0.27836428730216856
0,0.05,0.2,momentum,2018-10-01,0.25,-6.176174848084881
0,0.05,0.2,momentum,2018-10-30,0.0,0.0
0,0.05,0.2,momentum,2018-11-29,0.0,0.0
0,0.05,0.2,momentum,2019-01-02,0.0,0.0
0,0.05,0.2,momentum,2019-02-01,0.0,0.0
0,0.05,0.2,momentum,2019-03-05,0.25,2.7090621977231333
0,0.05,0.2,momentum,2019-04-03,0.25,-0.1653583558647309
0,0.05,0.2,momentum,2019-05-03,0.25,0.10756592156035971
0,0.05,0.2,momentum,2019-06-04,0.25,2.3138798294257246
0,0.05,0.2,momentum,2019-07-03,0.25,2.154437582850055
0,0.05,0.2,momentum,2019-08-02,0.25,-0.0007254754549435027
0,0.05,0.2,momentum,2019-09-03,0.25,-5.012245617245137
0,0.05,0.2,momentum,2019-10-02,0.25,0.3438733658898796
0,0.05,0.2,momentum,2019-10-31,0.25,1.2120028362688329
0,0.05,0.2,momentum,2019-12-02,0.25,2.8440721585560658
0,0.05,0.2,momentum,2020-01-02,0.25,-0.5092661866653025
0,0.05,0.2,momentum,2020-02-03,0.25,2.7089932604937195
0,0.05,0.2,momentum,2020-03-04,0.25,-7.615025491343575
0,0.05,0.2,momentum,2020-04-02,0.0,0.0
0,0.05,0.2,momentum,2020-05-04,0.25,3.798453500225518
0,0.05,0.2,momentum,2020-06-03,0.25,1.0406079444109206
0,0.05,0.2,momentum,2020-07-02,0.25,4.389564941123303
0,0.05,0.2,momentum,2020-08-03,0.25,4.100117669686165
0,0.05,0.2,momentum,2020-09-01,0.25,0.5584530084411066
0,0.05,0.2,momentum,2020-10-01,0.25,-0.3981244557036079
0,0.05,0.2,momentum,2020-10-30,0.25,11.999023077256176
0,0.05,0.2,momentum,2020-12-01,0.25,3.9322012325451183
0,0.05,0.2,momentum,2020-12-31,0.25,4.779816268140724
0,0.05,0.2,momentum,2021-02-02,0.25,-5.428336609200802
0,0.05,0.2,momentum,2021-03-04,0.25,1.474559983579149
0,0.05,0.2,momentum,2021-04-05,0.25,-1.8806738408419954
0,0.05,0.2,momentum,2021-05-04,0.25,-1.0708678274739647
0,0.05,0.2,momentum,2021-06-03,0.25,8.989399383158304
0,0.05,0.2,momentum,2021-07-02,0.25,1.2319418672019466
0,0.05,0.2,momentum,2021-08-03,0.25,2.0595059845513575
0,0.05,0.2,momentum,2021-09-01,0.25,-4.261885233240303
0,0.05,0.2,momentum,2021-10-01,0.25,5.512574108305657
0,0.05,0.2,momentum,2021-11-01,0.25,-0.7009838801900314
0,0.05,0.2,momentum,2021-12-01,0.25,-0.8905029847888102
0,0.05,0.2,momentum,2021-12-31,0.25,-4.690506426110463
0,0.05,0.2,momentum,2022-02-01,0.25,1.229658604064432
0,0.05,0.2,momentum,2022-03-03,0.0,0.0
0,0.05,0.2,momentum,2022-04-01,0.0,0.0
0,0.05,0.2,momentum,2022-05-03,0.0,0.0
0,0.05,0.2,momentum,2022-06-02,0.0,0.0
0,0.05,0.2,momentum,2022-07-05,0.0,0.0
0,0.05,0.2,momentum,2022-08-03,0.0,0.0
0,0.05,0.2,momentum,2022-09-01,0.0,0.0
0,0.05,0.2,momentum,2022-10-03,0.0,0.0
0,0.05,0.2,momentum,2022-11-01,0.0,0.0
0,0.05,0.2,momentum,2022-12-01,0.0,0.0
0,0.05,0.2,momentum,2023-01-03,0.0,0.0
0,0.05,0.2,momentum,2023-02-02,0.25,1.5702841020758251
0,0.05,0.2,momentum,2023-03-06,0.25,-0.8604726120187922
0,0.05,0.2,momentum,2023-04-04,0.25,-2.3299593921355277
0,0.05,0.2,momentum,2023-05-04,0.25,3.5204648195362065
0,0.05,0.2,momentum,2023-06-05,0.25,-0.33495801803751224
0,0.05,0.2,momentum,2023-07-06,0.25,4.198483106005502
0,0.05,0.2,momentum,2023-08-04,0.25,-0.36995631472516166
0,0.05,0.2,momentum,2023-09-05,0.25,-3.381382142461453
