date,close,foreign_net,institution_net
2026.06.30,2650000.0,-602006.0,284306.0
2026.07.01,2560000.0,-3130.0,-308954.0
2026.07.02,2187000.0,-687600.0,-1372901.0
2026.07.03,2425000.0,-745377.0,1071876.0
2026.07.06,2343000.0,-27696.0,-584423.0
2026.07.07,2201000.0,-542009.0,-23811.0
2026.07.08,2076000.0,88312.0,-285353.0
2026.07.09,2186000.0,-209485.0,404365.0
2026.07.10,2180000.0,-768843.0,204193.0
2026.07.13,1845000.0,-704671.0,-781727.0
2026.07.14,1913000.0,664541.0,697670.0
2026.07.15,2082000.0,331145.0,265930.0
2026.07.16,1842000.0,-469637.0,-628785.0
2026.07.20,1764000.0,331597.0,-527040.0
2026.07.21,1836000.0,-237417.0,366154.0
2026.07.22,1830000.0,640418.0,-564978.0
2026.07.23,1919000.0,689697.0,-148136.0
2026.07.24,1759000.0,-976779.0,-483881.0
2026.07.27,1816000.0,-615917.0,231139.0
2026.07.28,1550000.0,-1826337.0,388673.0
2026.07.29,1401000.0,-921877.0,791370.0
2026.07.30,1322000.0,444498.0,-80151.0
2026.07.31,1718000.0,2205767.0,277183.0
2026.08.03,1567000.0,-1107357.0,-288012.0
2026.08.04,1577000.0,-418552.0,18945.0
2026.08.05,1668000.0,389804.0,-28260.0
2026.08.06,1495000.0,-1101883.0,-275040.0
2026.08.07,1422000.0,-56357.0,32908.0
2026.08.10,1420000.0,-286575.0,68099.0
2026.08.11,1425000.0,-210592.0,68354.0
2026.08.12,1504000.0,559854.0,193626.0
2026.08.13,1593000.0,649842.0,159109.0
2026.08.14,1645000.0,747508.0,-334859.0
2026.08.18,1662000.0,441470.0,-73791.0
2026.08.19,1500000.0,-1199222.0,-311406.0
2026.08.20,1691000.0,312973.0,-13214.0
2026.08.21,1730000.0,6014.0,66258.0
2026.08.24,1671000.0,-913265.0,-173328.0
2026.08.25,1678000.0,-1234309.0,197025.0
2026.08.26,1688000.0,-227762.0,2290.0
