trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-15,US,theme15,1.0,CRWD,CrowdStrike,사이버보안,97.6,99.8,242.49000549316406,236.9199981689453,3.0206476603190646,-0.610701803617919,,,,,,,추격 금지,사이버보안,1.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,2.0,OKTA,OKTA,사이버보안,97.5,99.7,190.4499969482422,187.25,2.145347313205037,-0.802129538444496,,,,,,,관찰,사이버보안,1.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,3.0,GEN,GEN,사이버보안,97.4,99.5,31.229999542236328,30.899999618530273,-0.5730668769506897,-1.3270144750587742,,,,,,,관찰,사이버보안,1.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,1.0,NET,NET,클라우드·SaaS,95.5,99.1,327.2300109863281,324.0199890136719,-0.9474435476510612,-2.202628506500215,,,,,,,추격 금지,클라우드·SaaS,2.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,2.0,CRM,CRM,클라우드·SaaS,94.9,98.1,255.64999389648438,251.85000610351562,-1.4570400054017107,-4.704214274427976,,,,,,,관찰,클라우드·SaaS,2.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,3.0,MSFT,Microsoft,클라우드·SaaS,92.3,93.9,497.1199951171875,493.1700134277344,-1.640254147099185,-9.48310210173895,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,1.0,ILMN,ILMN,바이오,91.6,98.4,222.2899932861328,223.6999969482422,6.762396675590643,-4.106813499298967,,,,,,,관찰,바이오,3.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,2.0,MRNA,MRNA,바이오,88.2,92.6,143.77000427246094,145.41000366210938,-1.990591124375829,-18.617682954742744,,,,,,,눌림목 대기,바이오,3.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,3.0,BIIB,BIIB,바이오,73.5,68.1,216.1699981689453,216.41000366210938,-0.5474799586237977,-4.264838242984926,,,,,,,눌림목 대기,바이오,3.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,1.0,MPC,MPC,석유·가스,91.1,99.8,410.8399963378906,405.30999755859375,3.6297095945969415,-0.5903993536133578,,,,,,,관찰,석유·가스,4.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,2.0,VLO,VLO,석유·가스,91.0,99.7,397.0400085449219,391.67999267578125,3.6793304318458286,-0.6804085336844512,,,,,,,돌파 확인,석유·가스,4.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,3.0,COP,COP,석유·가스,75.8,74.4,141.22000122070312,138.4199981689453,3.3291893705400533,-0.28244168216033927,,,,,,,관찰,석유·가스,4.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,1.0,DELL,Dell,AI·데이터센터,89.8,98.2,543.510009765625,553.625,1.7275548331643353,-4.424354001555642,,,,,,,관찰,AI·데이터센터,5.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,2.0,MSFT,Microsoft,AI·데이터센터,87.2,93.9,497.1199951171875,493.1700134277344,-1.640254147099185,-9.48310210173895,,,,,,,눌림목 대기,AI·데이터센터,5.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,theme15,3.0,HPE,HPE,AI·데이터센터,85.7,91.3,55.880001068115234,55.5099983215332,0.8482245479108697,-12.772778769845662,,,,,,,눌림목 대기,AI·데이터센터,5.0,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,breakout,1.0,DELL,Dell,AI·데이터센터,85.0,,543.510009765625,553.625,1.7275548331643353,-4.1918541104,,,2.0,,,,정식 후보,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,1.0,ZS,ZS,사이버보안,80.0,,193.88999938964844,189.7823944091797,1.1265861942535427,-42.46416658999313,-42.46416658999313,고점 대비 -30~-50%,216.0,,1.0,5.243447802276302,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,2.0,NOW,NOW,클라우드·SaaS,80.0,,141.89999389648438,139.1999969482422,-0.3161307957401882,-27.128377613306455,-27.128377613306455,고점 대비 -20~-30%,244.0,,2.0,-1.941823431007783,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,3.0,DDOG,DDOG,클라우드·SaaS,80.0,,230.27000427246094,229.1300048828125,0.09563191383814562,-21.33437984688875,-21.33437984688875,고점 대비 -20~-30%,28.0,,2.0,-2.831459015972282,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,4.0,MDB,MDB,클라우드·SaaS,80.0,,377.6700134277344,372.81201171875,-1.2085053268256152,-20.171209352066867,-20.171209352066867,고점 대비 -20~-30%,21.0,,2.0,-15.438176177347707,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,5.0,VRT,Vertiv,AI·데이터센터 · 전력망·전력설비,70.0,,234.61000061035156,240.0,-1.1710681942982082,-38.22197140187746,-38.22197140187746,고점 대비 -30~-50%,84.0,,4.0,-8.718088676089996,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,6.0,TSLA,Tesla,빅테크10 · 배터리·전기차,60.0,,356.5799865722656,357.7099914550781,-0.6657978773463191,-28.51672991382851,-28.51672991382851,고점 대비 -20~-30%,182.0,,4.0,2.245157440076162,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,7.0,MU,Micron,반도체,60.0,,927.5999755859375,935.22998046875,0.386345267564403,-26.07628188166613,-26.07628188166613,고점 대비 -20~-30%,56.0,,6.0,-0.5638584405185609,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,8.0,CAT,CAT,인프라·리쇼어링,60.0,,783.5399780273438,797.0,-0.058676272022484266,-26.87258726152322,-26.87258726152322,고점 대비 -20~-30%,53.0,,4.0,-2.0881002152647654,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,9.0,RIVN,RIVN,배터리·전기차,60.0,,15.539999961853027,15.595000267028809,-2.017652596161912,-31.511680933953535,-31.511680933953535,고점 대비 -30~-50%,182.0,,4.0,-3.2980693406104544,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,10.0,UEC,UEC,원전·우라늄,60.0,,10.180000305175781,10.300000190734863,-0.779726334516595,-49.950834666633156,-49.950834666633156,고점 대비 -30~-50%,162.0,,4.0,-17.90322081975694,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,11.0,QCOM,Qualcomm,반도체,60.0,,187.8000030517578,189.2899932861328,4.246466508163849,-27.085450296240555,-27.085450296240555,고점 대비 -20~-30%,74.0,,6.0,15.002191156697142,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,12.0,GEV,GE Vernova,전력망·전력설비 · 인프라·리쇼어링,60.0,,882.8099975585938,898.0,0.9202510063446523,-26.18274823060608,-26.18274823060608,고점 대비 -20~-30%,50.0,,4.0,-3.193227040569613,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,13.0,ALB,ALB,희토류·핵심광물 · 배터리·전기차,60.0,,113.44999694824219,114.0,-1.373556331236836,-48.36073234164478,-48.36073234164478,고점 대비 -30~-50%,89.0,,4.0,-17.12856028094254,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,14.0,NXE,NXE,원전·우라늄,60.0,,9.460000038146973,9.619999885559082,-0.1055990348453606,-32.23495693197235,-32.23495693197235,고점 대비 -30~-50%,158.0,,4.0,-9.038457835214242,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,15.0,ASML,ASML,반도체,60.0,,1591.47998046875,1625.300048828125,1.0367238549713331,-20.32149437366424,-20.32149437366424,고점 대비 -20~-30%,53.0,,6.0,-6.171590628331469,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,16.0,PWR,Quanta Services,전력망·전력설비 · 인프라·리쇼어링,60.0,,613.3499755859375,625.5700073242188,-1.3938528782154291,-22.225842122583728,-22.225842122583728,고점 대비 -20~-30%,90.0,,4.0,1.767042170765376,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,17.0,CHPT,CHPT,배터리·전기차,60.0,,8.819999694824219,8.960000038146973,-0.22624951830817475,-30.055512014595077,-30.055512014595077,고점 대비 -30~-50%,230.0,,4.0,58.34828407542862,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,18.0,AMAT,Applied Materials,반도체,60.0,,421.1700134277344,430.0050048828125,-0.7166210340582402,-42.99885352842486,-42.99885352842486,고점 대비 -30~-50%,53.0,,6.0,-8.772499582396964,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,19.0,LRCX,Lam Research,반도체,60.0,,270.8699951171875,277.0,-0.9579857438081096,-38.22805128456386,-38.22805128456386,고점 대비 -30~-50%,53.0,,6.0,-10.278237630550091,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,crash,20.0,KLAC,KLA,반도체,60.0,,168.02000427246094,171.49000549316406,-0.632794422262295,-45.27445110603621,-45.27445110603621,고점 대비 -30~-50%,53.0,,6.0,-4.283917797247594,,,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,top7,1.0,CRWD,CrowdStrike,사이버보안,97.6,99.8,240.09,236.9199981689453,2.001017511887837,-1.594391259799488,,,,,,,돌파 확인,테마 대장주,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,top7,2.0,OKTA,OKTA,사이버보안,97.5,99.7,190.61,187.25,2.2311628425033536,-0.7187902774518085,,,,,,,관찰,테마 대장주,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,top7,3.0,GEN,GEN,사이버보안,97.4,99.5,31.23,30.899999618530273,-0.5730654195687301,-1.3270130287280413,,,,,,,관찰,테마 대장주,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,top7,1.0,DELL,Dell,AI·데이터센터,85.0,,543.510009765625,553.625,1.7275548331643353,-4.1918541104,,,2.0,,,,정식 후보,상승장,,2026-09-16T08:35:19+09:00,3.0
2026-09-15,US,top7,1.0,ZS,ZS,사이버보안,80.0,,193.88999938964844,189.7823944091797,1.1265861942535427,-42.46416658999313,-42.46416658999313,고점 대비 -30~-50%,216.0,,1.0,5.243447802276302,규칙에 맞는 자리,급락 후 반등장,,2026-09-16T08:35:19+09:00,3.0
