trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-08-20,US,theme15,1,COP,COP,석유·가스,73.4,,134.88999938964844,,3.300656684145298,-0.7212745733109149,,,,,,,관찰,석유·가스,1.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,2,MPC,MPC,석유·가스,71.3,,358.2300109863281,,-0.6985416531315014,-2.5476380808432952,,,,,,,관찰,석유·가스,1.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,3,VLO,VLO,석유·가스,66.3,,341.510009765625,,-1.3718014977285864,-3.172668572190984,,,,,,,관찰,석유·가스,1.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,1,AMGN,AMGN,바이오,77.3,,433.7300109863281,,-1.9508939892869726,-2.136733068563057,,,,,,,관찰,바이오,2.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,2,REGN,REGN,바이오,75.3,,826.6400146484375,,-1.6887888009013752,-2.16351472701084,,,,,,,관찰,바이오,2.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,3,ILMN,ILMN,바이오,71.0,,213.24000549316406,,4.01951487471417,-3.2135083495326344,,,,,,,관찰,바이오,2.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,1,TWST,TWST,유전체·정밀의료,56.1,,136.3300018310547,,-4.25591515174506,-6.308839957622281,,,,,,,제외,유전체·정밀의료,3.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,2,ILMN,ILMN,유전체·정밀의료,47.3,,213.24000549316406,,4.01951487471417,-3.2135083495326344,,,,,,,제외,유전체·정밀의료,3.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,3,TEM,TEM,유전체·정밀의료,36.0,,66.6500015258789,,8.816329021843107,-36.11004436267679,,,,,,,추격 금지,유전체·정밀의료,3.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,1,FCX,FCX,희토류·핵심광물,66.9,,71.22000122070312,,3.082942532513,-1.2273597369544809,,,,,,,관찰,희토류·핵심광물,4.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,2,RIO,RIO,희토류·핵심광물,65.9,,102.16999816894531,,1.7224170504658076,-7.253946671909084,,,,,,,관찰,희토류·핵심광물,4.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,3,ALB,ALB,희토류·핵심광물,47.5,,134.19000244140625,,-0.06702140207682783,-39.12554438173831,,,,,,,제외,희토류·핵심광물,4.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,1,XYZ,XYZ,핀테크·블록체인,56.6,,80.08000183105469,,-1.050288485006634,-7.688758696190567,,,,,,,눌림목 대기,핀테크·블록체인,5.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,2,PYPL,PYPL,핀테크·블록체인,53.0,,62.29999923706055,,1.7142844686702796,-20.672155486059662,,,,,,,제외,핀테크·블록체인,5.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,theme15,3,SOFI,SOFI,핀테크·블록체인,47.8,,17.920000076293945,,-2.71444081394705,-45.249006028340645,,,,,,,눌림목 대기,핀테크·블록체인,5.0,2026-08-21T06:53:53+09:00,3
2026-08-20,US,breakout,1,PANW,Palo Alto Networks,사이버보안,47.0,,349.55999755859375,,-2.8352267984638746,-12.36462262346506,,,5.0,,0.0,-3.61220040016349,,,,2026-08-21T06:53:53+09:00,3
