trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-18,US,theme15,1.0,CRWD,CrowdStrike,사이버보안,95.4,98.0,237.64999389648438,231.6199951171875,-3.2763545591144583,-5.061526468926614,,,,,,,관찰,사이버보안,1.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,2.0,OKTA,OKTA,사이버보안,95.3,97.9,182.3699951171875,183.89999389648438,-4.025896738905677,-5.306610631412334,,,,,,,관찰,사이버보안,1.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,3.0,PANW,Palo Alto Networks,사이버보안,94.5,96.5,363.5799865722656,364.0899963378906,-3.0608465475006175,-8.849783864427529,,,,,,,눌림목 대기,사이버보안,1.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,1.0,NET,NET,클라우드·SaaS,93.9,98.3,323.6000061035156,327.0,-3.0963634971239773,-4.260353223811942,,,,,,,관찰,클라우드·SaaS,2.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,2.0,SNOW,SNOW,클라우드·SaaS,91.7,94.6,332.42999267578125,335.6300048828125,-1.7612877787922532,-13.555753384065817,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,3.0,MSFT,Microsoft,클라우드·SaaS,91.6,94.5,493.7799987792969,494.95001220703125,-0.7975893964245362,-10.091257296595158,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,1.0,ILMN,ILMN,바이오,92.5,98.5,239.6199951171875,241.50999450683594,-2.2677207458547066,-3.844302547501399,,,,,,,추격 금지,바이오,3.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,2.0,MRNA,MRNA,바이오,90.4,94.9,154.0399932861328,161.0500030517578,-2.549512147374011,-12.80426237239356,,,,,,,관찰,바이오,3.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,3.0,GILD,GILD,바이오,74.4,68.3,150.11000061035156,150.11000061035156,-0.5169320580899806,-2.847932359599803,,,,,,,눌림목 대기,바이오,3.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,1.0,DELL,Dell,AI·데이터센터,90.7,98.2,568.0599975585938,586.77001953125,-3.456836507735306,-4.6094963572207215,,,,,,,관찰,AI·데이터센터,4.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,2.0,HPE,HPE,AI·데이터센터,90.6,98.0,60.7599983215332,62.650001525878906,-0.4587198391127756,-4.915336369012168,,,,,,,관찰,AI·데이터센터,4.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,3.0,ANET,Arista Networks,AI·데이터센터,89.7,96.5,199.38999938964844,203.47000122070312,-0.0701645820202157,-7.212992714423483,,,,,,,눌림목 대기,AI·데이터센터,4.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,1.0,HOOD,Robinhood,핀테크·블록체인,85.8,90.6,119.81999969482422,125.04499816894531,9.115747526439222,-22.124009346479333,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,2.0,XYZ,XYZ,핀테크·블록체인,72.2,67.8,76.27999877929688,77.29000091552734,-0.2484666383852585,-12.24114083500969,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-19T08:28:04+09:00,3.0
2026-09-18,US,theme15,3.0,PYPL,PYPL,핀테크·블록체인,71.7,67.1,52.40999984741211,52.7400016784668,-1.0011310786651295,-33.10045163300932,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-19T08:28:04+09:00,3.0
