trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-25,US,theme15,1,MRNA,MRNA,바이오,96.4,99.3,198.88999938964844,,2.089103743157361,-1.865100317485513,,,,,,,추격 금지,바이오,1.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,2,ILMN,ILMN,바이오,96.2,98.9,270.0,,-1.4238751308473185,-2.8602309256635983,,,,,,,관찰,바이오,1.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,3,BIIB,BIIB,바이오,84.5,79.4,227.92999267578125,,0.6935819319651815,-0.5497664611034403,,,,,,,관찰,바이오,1.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,1,NET,NET,클라우드·SaaS,92.6,98.0,348.8949890136719,,-2.7660158597508033,-5.0444993690171085,,,,,,,관찰,클라우드·SaaS,2.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,2,MSFT,Microsoft,클라우드·SaaS,92.4,97.6,516.0999755859375,,3.6491039257374736,-6.027178036974989,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,3,SNOW,SNOW,클라우드·SaaS,90.7,94.9,335.9700012207031,,0.589820724761414,-12.635218599533914,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,1,CRWD,CrowdStrike,사이버보안,91.8,98.2,252.1300048828125,,-2.9036885874464846,-4.449156952900668,,,,,,,관찰,사이버보안,3.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,2,OKTA,OKTA,사이버보안,90.9,96.7,195.13999938964844,,-5.565234240208817,-8.169412051930147,,,,,,,관찰,사이버보안,3.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,3,FTNT,Fortinet,사이버보안,83.0,83.6,173.4199981689453,,-2.938378045448764,-4.383303281838602,,,,,,,관찰,사이버보안,3.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,1,ANET,Arista Networks,AI·데이터센터,91.2,98.4,206.50999450683594,,0.39377616461393483,-3.899671881713529,,,,,,,관찰,AI·데이터센터,4.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,2,HPE,HPE,AI·데이터센터,91.2,98.4,62.95000076293945,,-0.8973546768206164,-4.112720030745354,,,,,,,관찰,AI·데이터센터,4.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,3,DELL,Dell,AI·데이터센터,90.8,97.8,562.9000244140625,,5.0147389842489565,-5.475976023374796,,,,,,,관찰,AI·데이터센터,4.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,1,HOOD,Robinhood,핀테크·블록체인,77.8,77.4,119.45999908447266,,-1.1256419581085475,-22.357988684139197,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,2,PYPL,PYPL,핀테크·블록체인,74.7,72.2,55.040000915527344,,4.638788045985809,-29.743353843294894,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,theme15,3,MSTR,MSTR,핀테크·블록체인,71.3,66.6,158.6699981689453,,-1.8191958605920155,-56.55376307291906,,,,,,,관찰,핀테크·블록체인,5.0,2026-09-26T09:00:23+09:00,3
2026-09-25,US,breakout,1,CRWD,CrowdStrike,사이버보안,80.0,,252.1300048828125,,-2.9036885874464846,-3.9468115879,,,2.0,,,,정식 후보,,,2026-09-26T09:00:23+09:00,3
2026-09-25,US,breakout,2,OKTA,OKTA,사이버보안,80.0,,195.13999938964844,,-5.565234240208817,-5.5652342402,,,1.0,,,,정식 후보,,,2026-09-26T09:00:23+09:00,3
2026-09-25,US,breakout,3,META,Meta,빅테크10,66.0,,751.9000244140625,,-3.3037978310106686,-3.303797831,,,1.0,,,,정식 후보,,,2026-09-26T09:00:23+09:00,3
