trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-24,US,theme15,1,MRNA,MRNA,바이오,96.0,99.8,194.82000732421875,,6.979301889664979,-0.45439714080884874,,,,,,,추격 금지,바이오,1.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,2,ILMN,ILMN,바이오,95.8,99.4,273.8999938964844,,7.251933847432657,-1.4571031238272525,,,,,,,관찰,바이오,1.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,3,BIIB,BIIB,바이오,79.0,71.4,226.36000061035156,,-0.514217103336867,-1.2347841532826864,,,,,,,눌림목 대기,바이오,1.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,1,NET,NET,클라우드·SaaS,94.4,99.1,358.82000732421875,,1.8420290634620695,-2.343299546360089,,,,,,,관찰,클라우드·SaaS,2.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,2,MDB,MDB,클라우드·SaaS,92.3,95.6,421.3999938964844,,-1.6247996295372769,-10.927924654416332,,,,,,,관찰,클라우드·SaaS,2.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,3,SNOW,SNOW,클라우드·SaaS,91.8,94.7,334.0,,-0.2419275303904289,-13.147492687637163,,,,,,,눌림목 대기,클라우드·SaaS,2.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,1,CRWD,CrowdStrike,사이버보안,93.8,99.4,259.6700134277344,,-1.0743178450815183,-1.5879527614789612,,,,,,,관찰,사이버보안,3.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,2,OKTA,OKTA,사이버보안,93.5,98.9,206.63999938964844,,0.6232950796126735,-2.757647346047798,,,,,,,관찰,사이버보안,3.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,3,FTNT,Fortinet,사이버보안,89.8,92.7,178.6699981689453,,-0.03916712659015609,-1.4832391003271272,,,,,,,관찰,사이버보안,3.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,1,HPE,HPE,AI·데이터센터,90.5,98.8,63.52000045776367,,1.9091907456291635,-2.9929794905207863,,,,,,,관찰,AI·데이터센터,4.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,2,ANET,Arista Networks,AI·데이터센터,89.1,96.4,205.6999969482422,,1.0959825596699169,-4.276607784219177,,,,,,,관찰,AI·데이터센터,4.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,3,DELL,Dell,AI·데이터센터,88.8,96.0,536.02001953125,,-2.5116849079444004,-9.989754875453471,,,,,,,눌림목 대기,AI·데이터센터,4.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,1,TWST,TWST,유전체·정밀의료,90.3,99.7,184.02999877929688,,16.107254750345025,-0.6424805277850498,,,,,,,추격 금지,유전체·정밀의료,5.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,2,ILMN,ILMN,유전체·정밀의료,90.1,99.4,273.8999938964844,,7.251933847432657,-1.4571031238272525,,,,,,,관찰,유전체·정밀의료,5.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,theme15,3,TEM,TEM,유전체·정밀의료,85.3,91.5,82.23999786376953,,7.376944504544558,-21.16564598892553,,,,,,,관찰,유전체·정밀의료,5.0,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,1,CRSP,CRSP,바이오 · 유전체·정밀의료,80.0,,55.70000076293945,,-0.10759964203689298,-29.02650563149034,-29.02650563149034,고점 대비 -20~-30%,241.0,,3.0,4.209541567602892,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,2,LRCX,Lam Research,반도체,70.0,,307.1600036621094,,-0.03905074123411456,-29.877696606792426,-29.877696606792426,고점 대비 -20~-30%,60.0,,4.0,-2.6449098521617587,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,3,NOW,NOW,클라우드·SaaS,70.0,,137.77999877929688,,-2.130984533323621,-29.244168602231557,-29.244168602231557,고점 대비 -20~-30%,251.0,,0.0,5.087329828308085,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,4,QCOM,Qualcomm,반도체,70.0,,194.25999450683594,,-1.5108552541747922,-24.57731276014552,-24.57731276014552,고점 대비 -20~-30%,81.0,,4.0,10.124717249611837,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,5,AMAT,Applied Materials,반도체,70.0,,474.25,,-0.027405219755127774,-35.81500854219082,-35.81500854219082,고점 대비 -30~-50%,60.0,,4.0,1.1517529756184253,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,6,KLAC,KLA,반도체,70.0,,187.11000061035156,,-0.39923347043717694,-39.05667642796441,-39.05667642796441,고점 대비 -30~-50%,60.0,,4.0,2.2962095370141045,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,7,GEN,GEN,사이버보안,50.0,,23.06999969482422,,-12.047273742127917,-27.10900482501959,-27.10900482501959,고점 대비 -20~-30%,14.0,,2.0,-22.479840331335165,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,8,TEM,TEM,유전체·정밀의료,50.0,,82.23999786376953,,7.376944504544558,-21.16564598892553,-21.16564598892553,고점 대비 -20~-30%,240.0,,3.0,34.203654539813535,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,9,ZS,ZS,사이버보안,50.0,,214.63999938964844,,0.08859988067619895,-36.3067136681516,-36.3067136681516,고점 대비 -30~-50%,223.0,,2.0,29.223354306129323,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,10,BEAM,BEAM,유전체·정밀의료,50.0,,24.65999984741211,,1.1899835789576096,-35.546259986286636,-35.546259986286636,고점 대비 -30~-50%,56.0,,3.0,-2.0456778758916383,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,11,PACB,PACB,유전체·정밀의료,50.0,,1.5800000429153442,,12.056743284987071,-42.12454095690562,-42.12454095690562,고점 대비 -30~-50%,207.0,,3.0,22.480627103720586,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,12,TER,TER,로봇·자동화,40.0,,387.70001220703125,,-0.37004738325541187,-20.508097712664785,-20.508097712664785,고점 대비 -20~-30%,60.0,,3.0,1.045117084132885,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,13,IBM,IBM,양자컴퓨팅,40.0,,227.05999755859375,,-2.4488731237166217,-31.213133036247598,-31.213133036247598,고점 대비 -30~-50%,79.0,,1.0,-5.36801064922795,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,14,GEV,GE Vernova,전력망·전력설비 · 인프라·리쇼어링,40.0,,955.0399780273438,,0.33829617767513476,-20.143148918970233,-20.143148918970233,고점 대비 -20~-30%,57.0,,3.0,0.4205922035261711,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,15,VRT,Vertiv,AI·데이터센터 · 전력망·전력설비,40.0,,245.3000030517578,,-1.3988245617069572,-35.40705611769901,-35.40705611769901,고점 대비 -30~-50%,91.0,,3.0,-6.668144016402644,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,16,TSLA,Tesla,빅테크10 · 배터리·전기차 · 휴머노이드·액추에이터,40.0,,377.94000244140625,,-0.5735011848322258,-24.234706690662435,-24.234706690662435,고점 대비 -20~-30%,189.0,,3.0,2.7541407112509964,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,17,RRX,Regal Rexnord,휴머노이드·액추에이터,40.0,,151.11000061035156,,-0.8594656700767866,-39.01937096474154,-39.01937096474154,고점 대비 -30~-50%,59.0,,3.0,-5.325480839230523,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,18,HOOD,Robinhood,핀테크·블록체인,40.0,,120.81999969482422,,-1.5321901386933123,-21.474067843793076,-21.474067843793076,고점 대비 -20~-30%,243.0,,3.0,4.805691337778084,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,19,CHPT,CHPT,배터리·전기차,40.0,,8.979999542236328,,-2.708559180918746,-28.786678931579203,-28.786678931579203,고점 대비 -20~-30%,237.0,,3.0,0.33519255430749517,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,crash,20,CCJ,Cameco,원전·우라늄,40.0,,88.12000274658203,,-2.9515420871165876,-34.84176340776901,-34.84176340776901,고점 대비 -30~-50%,164.0,,3.0,-12.239817216703363,,,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,1,MRNA,MRNA,바이오,96.0,99.8,194.82000732421875,,6.979301889664979,-0.45439714080884874,,,,,,,추격 금지,테마 대장주,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,2,NET,NET,클라우드·SaaS,94.4,99.1,358.82000732421875,,1.8420290634620695,-2.343299546360089,,,,,,,관찰,테마 대장주,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,3,CRWD,CrowdStrike,사이버보안,93.8,99.4,259.6700134277344,,-1.0743178450815183,-1.5879527614789612,,,,,,,관찰,테마 대장주,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,1,CRSP,CRSP,바이오 · 유전체·정밀의료,80.0,,55.70000076293945,,-0.10759964203689298,-29.02650563149034,-29.02650563149034,고점 대비 -20~-30%,241.0,,3.0,4.209541567602892,규칙에 맞는 자리,급락 후 반등장,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,2,LRCX,Lam Research,반도체,70.0,,307.1600036621094,,-0.03905074123411456,-29.877696606792426,-29.877696606792426,고점 대비 -20~-30%,60.0,,4.0,-2.6449098521617587,규칙에 맞는 자리,급락 후 반등장,,2026-09-25T08:57:29+09:00,3
2026-09-24,US,top7,3,NOW,NOW,클라우드·SaaS,70.0,,137.77999877929688,,-2.130984533323621,-29.244168602231557,-29.244168602231557,고점 대비 -20~-30%,251.0,,0.0,5.087329828308085,규칙에 맞는 자리,급락 후 반등장,,2026-09-25T08:57:29+09:00,3
