trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,theme_place,saved_at,schema
2026-09-14,KR,pullback,1.0,055550,신한지주,밸류업(25년 기업가치 제고계획 발표) · 지주사 · 코리아 밸류업 지수(Korea Value-up Index) · 밸류업(24년 기업가치 제고계획 발표) · 은행 · STO(토큰증권 발행),79.0,,115000.0,112900.0,1.860053144375562,-1.2875536480686733,,,4.0,,,,눌림목 대기,밸류업(25년 기업가치 제고계획 발표),,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,pullback,2.0,096770,SK이노베이션,석유화학 · 전기차 · 폐배터리 · 냉각시스템(액침냉각 등) · 자원개발 · 전력저장장치(ESS) · 2차전지(전고체) · 2차전지 · 2차전지(생산) · 정유 · 밸류업(24년 기업가치 제고계획 발표) · 2차전지(LFP/리튬인산철) · LPG(액화석유가스) · 윤활유 · 주유소,53.0,,133900.0,139500.0,-7.527624309392267,-18.70066788099575,,,2.0,,,,눌림목 대기,석유화학,,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,pullback,3.0,278470,에이피알,패션/의류 · 미용기기 · 화장품,49.2,,363500.0,365500.0,-2.2849462365591378,-23.473684210526315,,,9.0,,,,제외,패션/의류,,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,1.0,028260,삼성물산,전후 재건(우크라/중동 전쟁 등) · 모듈러주택 · 태양광에너지 · 자원개발 · 건설 대표주 · S7(삼성전자/SK하이닉스 등) · 지주사 · 패션/의류 · 종합상사,45.8,45.8,353000.0,351500.0,-3.8147138964577665,-37.522123893805315,-47.96460176991151,고점 대비 -40~-60%,70.0,20.0,7.0,-5.8666666666666645,제외,전후 재건(우크라/중동 전쟁 등),,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,2.0,006400,삼성SDI,리비안(RIVIAN) · 전기차 · 전력저장장치(ESS) · 2차전지(전고체) · 2차전지(나트륨이온) · 2차전지 · IT 대표주 · 2차전지(생산) · 스마트폰 · 아이폰,54.3,54.3,531000.0,539000.0,-2.5688073394495414,-26.556016597510368,-50.4149377593361,고점 대비 -40~-60%,91.0,20.0,6.0,-7.0052539404553364,눌림목 대기,리비안(RIVIAN),,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,3.0,079550,LIG디펜스앤에어로스페이스,로봇(산업용/협동로봇 등) · UAM(도심항공모빌리티) · 우주항공산업(누리호/인공위성 등) · 항공기부품 · 코리아 밸류업 지수(Korea Value-up Index) · 드론(Drone) · 방위산업/전쟁 및 테러,45.9,45.9,699000.0,693000.0,3.0973451327433565,-37.47763864042933,-42.665474060822895,고점 대비 -40~-60%,97.0,20.0,7.0,-4.768392370572205,제외,로봇(산업용/협동로봇 등),,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,4.0,005490,POSCO홀딩스,리튬 · 철강 주요종목 · 모듈러주택 · 폐배터리 · 2차전지(소재/부품) · 2차전지 · 니켈 · 환율하락 수혜 · 밸류업(24년 기업가치 제고계획 발표) · LNG(액화천연가스) · 풍력에너지 · 희귀금속(희토류 등),48.4,48.4,321500.0,322500.0,-3.7425149700598848,-40.68265682656826,-44.557195571955724,고점 대비 -40~-60%,88.0,20.0,6.0,-4.740740740740746,제외,리튬,,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,5.0,034020,두산에너빌리티,핵융합에너지 · 전력설비 · 셰일가스(Shale Gas) · 원자력발전 · 원자력발전소 해체 · 항공기부품 · 풍력에너지 · 수자원(양적/질적 개선),45.1,45.1,85600.0,86200.0,-5.726872246696035,-38.50574712643679,-56.75287356321839,고점 대비 -40~-60%,88.0,20.0,6.0,-2.947845804988658,눌림목 대기,핵융합에너지,,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,6.0,196170,알테오젠,바이오시밀러(복제 바이오의약품),35.6,35.6,258000.0,262000.0,-3.731343283582089,-41.071404099420306,-50.87890401947841,고점 대비 -40~-60%,203.0,20.0,2.0,-19.374999999999996,제외,바이오시밀러(복제 바이오의약품),,2026-09-14T22:55:48+09:00,3.0
2026-09-14,KR,crash,7.0,012450,한화에어로스페이스,냉각시스템(액침냉각 등) · 밸류업(25년 기업가치 제고계획 발표) · 지능형로봇/인공지능(AI) · 우주항공산업(누리호/인공위성 등) · 항공기부품 · 코리아 밸류업 지수(Korea Value-up Index) · 드론(Drone) · 방위산업/전쟁 및 테러,50.5,50.5,1133000.0,1106000.0,4.810360777058276,-31.54078549848942,-47.73413897280967,고점 대비 -40~-60%,132.0,20.0,7.0,-2.074330164217808,눌림목 대기,냉각시스템(액침냉각 등),,2026-09-14T22:55:48+09:00,3.0
