trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,saved_at,schema
2026-08-12,KR,pullback,1,055550,신한지주,은행 · 밸류업(25년 기업가치 제고계획 발표) · 코리아 밸류업 지수(Korea Value-up Index) · STO(토큰증권 발행) · 지주사 · 밸류업(24년 기업가치 제고계획 발표),75.0,,103800.0,,-0.6698564593301426,-8.384819064430715,,,21.0,,,,눌림목 대기,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,pullback,2,105560,KB금융,카카오뱅크(kakao BANK) · 은행 · 코리아 밸류업 지수(Korea Value-up Index) · STO(토큰증권 발행) · 지주사 · 밸류업(24년 기업가치 제고계획 발표) · 인터넷은행,63.6,,166000.0,,-0.36014405762304635,-14.652956298200515,,,21.0,,,,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,1,009830,한화솔루션,석유화학 · 태양광에너지 · 수소에너지(수소차/연료전지 등) · 日 수출 규제(국산화 등) · 우주태양광(페로브스카이트 등),41.7,41.7,35700.0,,-1.7881705639614887,-36.174777416240566,-57.986198019093926,고점 대비 -40~-60%,118.0,20.0,8.0,49.06054279749479,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,2,028260,삼성물산,모듈러주택 · S7(삼성전자/SK하이닉스 등) · 종합상사 · 패션/의류 · 태양광에너지 · 전후 재건(우크라/중동 전쟁 등) · 자원개발 · 건설 대표주 · 지주사,45.9,45.9,357500.0,,3.7735849056603765,-36.72566371681416,-47.96460176991151,고점 대비 -40~-60%,48.0,20.0,8.0,17.21311475409837,눌림목 대기,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,3,006400,삼성SDI,2차전지(생산) · 아이폰 · IT 대표주 · 전기차 · 리비안(RIVIAN) · 2차전지(전고체) · 전력저장장치(ESS) · 2차전지(나트륨이온) · 스마트폰 · 2차전지,46.0,46.0,485500.0,,5.658324265505987,-32.849239280774555,-50.4149377593361,고점 대비 -40~-60%,69.0,20.0,6.0,27.094240837696336,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,4,012450,한화에어로스페이스,냉각시스템(액침냉각 등) · 지능형로봇/인공지능(AI) · 방위산업/전쟁 및 테러 · 드론(Drone) · 밸류업(25년 기업가치 제고계획 발표) · 코리아 밸류업 지수(Korea Value-up Index) · 항공기부품 · 우주항공산업(누리호/인공위성 등),52.6,52.6,1156000.0,,5.2823315118397,-30.151057401812686,-47.73413897280967,고점 대비 -40~-60%,110.0,20.0,6.0,32.114285714285714,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,5,034020,두산에너빌리티,수자원(양적/질적 개선) · 전력설비 · 원자력발전 · 셰일가스(Shale Gas) · 항공기부품 · 원자력발전소 해체 · 핵융합에너지 · 풍력에너지,42.1,42.1,80300.0,,3.0808729139923052,-42.31321839080459,-56.75287356321839,고점 대비 -40~-60%,66.0,20.0,5.0,24.111282843894898,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,6,000660,SK하이닉스,온디바이스 AI · 자율주행차 · 반도체 대표주(생산) · 아이폰 · HBM(고대역폭메모리) · S7(삼성전자/SK하이닉스 등) · IT 대표주 · CXL(컴퓨트익스프레스링크) · 소캠(SOCAMM) · 시스템반도체 · 코리아 밸류업 지수(Korea Value-up Index) · 전력반도체 · 밸류업(24년 기업가치 제고계획 발표),25.0,25.0,1504000.0,,5.5438596491228065,-49.64847673250753,-55.741546702376965,고점 대비 -40~-60%,33.0,20.0,6.0,-2.9677419354838697,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,7,257720,실리콘투,화장품,51.9,51.9,45250.0,,12.983770287141084,-19.340463458110513,-41.0873440285205,고점 대비 -40~-60%,129.0,20.0,3.0,23.972602739726035,제외,,2026-08-12T17:37:20+09:00,2
2026-08-12,KR,crash,8,240810,원익IPS,반도체 장비 · 태양광에너지 · OLED(유기 발광 다이오드),30.4,30.4,111500.0,,6.494746895893022,-40.6283280085197,-59.3716719914803,고점 대비 -40~-60%,29.0,20.0,8.0,24.581005586592177,제외,,2026-08-12T17:37:20+09:00,2
