trade_date,market,list_kind,rank,code,name,themes,score,stock_score,price,buy_open,change_pct,from_high_pct,judged_from_high_pct,bucket_label,wait_days,hold_days,together_count,recent_gain_pct,state,origin,saved_at,schema
2026-08-10,US,pullback,1,ILMN,ILMN,바이오 · 유전체·정밀의료,95.3,,191.7899932861328,,2.037660372132266,-7.347829330370626,,,5.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,2,DDOG,DDOG,클라우드·SaaS,95.0,,260.7799987792969,,11.477795470514462,-10.91145200471776,,,3.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,3,XYZ,XYZ,핀테크·블록체인,91.9,,78.9800033569336,,-0.025312206413174998,-8.95676846462986,,,3.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,4,FTNT,Fortinet,사이버보안,90.5,,164.2100067138672,,2.8626956537780357,-4.578993428851874,,,3.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,5,GM,GM,배터리·전기차,86.5,,87.95999908447266,,0.43388587060204653,-4.235165437421806,,,8.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,6,URI,URI,인프라·리쇼어링,80.5,,1137.52001953125,,-2.177423122123334,-3.532966322537545,,,1.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,7,MPC,MPC,석유·가스,80.0,,320.32000732421875,,7.417838434503565,-2.0188443143370205,,,13.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,pullback,8,ANET,Arista Networks,AI·데이터센터,78.4,,191.52000427246094,,1.5105772678089435,-10.875329323637784,,,3.0,,,,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,1,NET,NET,클라우드·SaaS,40.0,,310.5899963378906,,3.4369093488556546,-4.354391084916642,,,1.0,120.0,1.0,18.47797198901857,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,2,ANET,Arista Networks,AI·데이터센터,39.7,,191.52000427246094,,1.5105772678089435,-10.875329323637784,,,3.0,120.0,1.0,10.075290663741953,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,3,DDOG,DDOG,클라우드·SaaS,37.6,,260.7799987792969,,11.477795470514462,-10.91145200471776,,,3.0,120.0,1.0,5.638822869046689,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,4,DELL,Dell,AI·데이터센터,36.3,,457.8800048828125,,0.9057487204198411,-5.7278168880013025,,,3.0,120.0,1.0,4.658286830357139,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,5,ILMN,ILMN,바이오 · 유전체·정밀의료,29.6,,191.7899932861328,,2.037660372132266,-7.347829330370626,,,5.0,120.0,0.0,-1.185018854734654,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,6,BMY,BMY,,21.3,,64.83999633789062,,0.18540654345524654,-4.787081070889176,,,5.0,120.0,0.0,4.4290484434603705,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,7,XYZ,XYZ,핀테크·블록체인,21.2,,78.9800033569336,,-0.025312206413174998,-8.95676846462986,,,3.0,120.0,0.0,2.3720049188085124,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,breakout,8,FTNT,Fortinet,사이버보안,17.8,,164.2100067138672,,2.8626956537780357,-4.578993428851874,,,3.0,120.0,0.0,7.770566368774601,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,1,MSFT,Microsoft,AI·데이터센터 · 빅테크10 · 양자컴퓨팅 · 클라우드·SaaS,79.1,,506.05999755859375,,1.2140257690705702,-8.028413893954001,-29.127822348590225,고점 대비 -20~-30%,195.0,250.0,2.0,32.580555770092715,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,2,AVGO,Broadcom,반도체 · AI·데이터센터 · 빅테크10,78.1,,422.3999938964844,,-1.2530427685555345,-14.531613623297368,-25.06947460618062,고점 대비 -20~-30%,46.0,250.0,3.0,10.599072854402669,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,3,DELL,Dell,AI·데이터센터,62.5,,457.8800048828125,,0.9057487204198411,-5.7278168880013025,-21.134294658287644,고점 대비 -20~-30%,3.0,250.0,2.0,4.658286830357139,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,4,TSM,TSMC,반도체,53.5,,418.4700012207031,,-0.3737756623845123,-12.636742960187242,-21.78079051613061,고점 대비 -20~-30%,28.0,250.0,3.0,3.73317404672191,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,5,META,Meta,빅테크10,53.3,,594.9199829101562,,0.47627215681407264,-25.039895204734442,-26.21295782270545,고점 대비 -20~-30%,246.0,250.0,2.0,-0.04536694671322117,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,6,ASML,ASML,반도체,50.9,,1733.47998046875,,-0.4313643276383172,-13.212169758969939,-22.363674857758408,고점 대비 -20~-30%,28.0,250.0,3.0,-1.216104718246458,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,7,MDB,MDB,클라우드·SaaS,50.9,,416.6700134277344,,4.480949393619982,-6.307336687348197,-27.797264521016686,고점 대비 -20~-30%,147.0,250.0,1.0,39.71900332713438,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,8,CAT,CAT,인프라·리쇼어링,49.3,,837.5800170898438,,-0.5473806787303026,-21.829056169624117,-26.950046664575932,고점 대비 -20~-30%,28.0,250.0,2.0,-5.7553997842998195,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,9,GEV,GE Vernova,전력망·전력설비 · 인프라·리쇼어링,45.9,,990.8499755859375,,0.053514849523295105,-17.148851603631265,-24.72196988100609,고점 대비 -20~-30%,25.0,250.0,2.0,-2.355262322154472,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,10,PYPL,PYPL,핀테크·블록체인,43.7,,59.06999969482422,,0.0,-24.784986921757955,-25.701771058928014,고점 대비 -20~-30%,195.0,250.0,1.0,5.200352786454543,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,11,PWR,Quanta Services,전력망·전력설비 · 인프라·리쇼어링,41.5,,660.8599853515625,,-1.6372458904877374,-16.20146591430329,-28.8461827215179,고점 대비 -20~-30%,65.0,250.0,2.0,5.595672535048846,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,12,NU,NU,핀테크·블록체인,40.1,,13.859999656677246,,0.1445050857576513,-26.975764009717228,-26.027395677172095,고점 대비 -20~-30%,132.0,250.0,1.0,-1.6323668801976554,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,13,SPGI,SPGI,,37.7,,410.94000244140625,,0.6737058682358965,-24.357681841361035,-22.75624915569304,고점 대비 -20~-30%,247.0,250.0,0.0,-3.625701612657928,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,14,AMD,AMD,반도체,37.5,,469.55999755859375,,-2.8550124567989665,-19.696267808575506,-26.537032150423336,고점 대비 -20~-30%,28.0,250.0,3.0,-10.037362472109113,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,15,LOW,LOW,주택·홈빌더,34.9,,218.8800048828125,,-2.0013436751962432,-24.489911809743937,-25.593856613978694,고점 대비 -20~-30%,122.0,250.0,1.0,5.413217841554485,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,16,ADBE,ADBE,,34.8,,272.9599914550781,,2.9222126804045123,-26.398101106453574,-29.96863299894832,고점 대비 -20~-30%,223.0,250.0,0.0,21.25627058548647,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,17,LHX,L3Harris,방산·드론,26.3,,289.7200012207031,,1.0639368089113477,-23.026375127796307,-20.95139300783536,고점 대비 -20~-30%,111.0,250.0,0.0,-3.494217558693302,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,18,NVR,NVR,주택·홈빌더,21.1,,6292.27978515625,,-1.5314273156574298,-26.989148814877172,-25.950539590457645,고점 대비 -20~-30%,232.0,250.0,1.0,-1.9079724788547692,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,19,RIVN,RIVN,배터리·전기차,19.7,,16.389999389648438,,2.4374961853027344,-27.765539868334944,-28.029971179618187,고점 대비 -20~-30%,157.0,250.0,0.0,3.472217372237152,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,crash,20,CWEN,CWEN,태양광·청정에너지,16.6,,33.04999923706055,,1.2251077870994775,-20.819362941926578,-26.257787616418405,고점 대비 -20~-30%,47.0,250.0,0.0,2.991583296690137,,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,top7,1,RTX,RTX,방산·드론,98.0,,224.9,,0.8384527780738615,-0.8744568422907384,,,,,,,관찰,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,top7,2,AMGN,AMGN,바이오,95.5,,416.5,,1.3505262509087679,-0.45410944651076424,,,,,,,관찰,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,top7,3,REGN,REGN,바이오,95.4,,807.89,,2.9998999296083406,-1.3445348684727576,,,,,,,관찰,,2026-08-11T07:06:45+09:00,2
2026-08-10,US,top7,4,CRWD,CrowdStrike,사이버보안,94.8,,224.7838,,4.833411957633205,-0.9326548935253864,,,,,,,관찰,,2026-08-11T07:06:45+09:00,2
