offset,day,method,hold,cost,tickers,exposure,return_pct
0,2022-05-03,high,1,0.2,,0.0,0.0
0,2022-06-02,high,1,0.2,,0.0,0.0
0,2022-07-05,high,1,0.2,,0.0,0.0
0,2022-08-03,high,1,0.2,,0.0,0.0
0,2022-09-01,high,1,0.2,,0.0,0.0
0,2022-10-03,high,1,0.2,,0.0,0.0
0,2022-11-01,high,1,0.2,,0.0,0.0
0,2022-12-01,high,1,0.2,,0.0,0.0
0,2023-01-03,high,1,0.2,,0.0,0.0
0,2023-02-02,high,1,0.2,BSX DHI NUE SYK URI,0.5,0.18438889880545428
0,2023-03-06,high,1,0.2,AVGO FSLR PGR PWR ROK,0.5,-0.49352031122781304
0,2023-04-04,high,1,0.2,BSX MCD MDLZ ORCL SYK,0.5,0.18692228968473223
0,2023-05-04,high,1,0.2,BIIB PEP VRTX MDLZ MSFT,0.5,0.37052538812418767
0,2023-06-05,high,1,0.2,CCJ FTNT ISRG LLY MLM,0.5,-0.5099027281245117
0,2023-07-06,high,1,0.2,VST BRK-B V MA MSTR,0.5,0.028653998580785434
0,2023-08-04,high,1,0.2,BKNG CEG MPC VRT VST,0.5,0.6110195766256155
0,2023-09-05,high,1,0.2,ADBE ANET IBM INTU LLY,0.5,0.013713808925919224
0,2023-10-04,high,1,0.2,COST GOOGL WMT VRTX LIN,0.5,-0.4032566948010352
0,2023-11-02,high,1,0.2,ANET CCJ CEG KTOS VRTX,0.5,-0.8919586021711057
0,2023-12-04,high,1,0.2,AVAV CCJ COIN COST CRWD,0.5,0.27522533610897515
0,2024-01-04,high,1,0.2,AMGN BSX C JPM VRTX,0.5,0.09358311566678434
0,2024-02-05,high,1,0.2,ABBV ASML BKNG BRK-B CAT,0.5,0.16407091928809514
0,2024-03-06,high,1,0.2,ABBV ABNB AMAT AMD ASML,0.5,-0.04781936992158675
0,2024-04-05,high,1,0.2,AMZN CAT CEG COP DELL,0.5,-1.0220603273192075
0,2024-05-06,high,1,0.2,CCJ CEG DUK GS MS,0.5,0.22139274699226608
0,2024-06-05,high,1,0.2,AMAT AVAV COST DHR GEN,0.5,-0.042466634542526194
0,2024-07-08,high,1,0.2,AAPL ANET ASML C KLAC,0.5,-0.11943279705594056
0,2024-08-06,high,1,0.2,DUK PG LMT T KO,0.5,0.25734541638684494
0,2024-09-05,high,1,0.2,SO SPGI T DUK PG,0.5,-0.24370306291743304
0,2024-10-04,high,1,0.2,ADP ANET AXP BSX CAT,0.5,-0.15907329217851318
0,2024-11-04,high,1,0.2,BKNG GILD ILMN V NOW,0.5,0.8816641787725343
0,2024-12-04,high,1,0.2,AAPL AMZN BKNG C COIN,0.5,-0.5655426754269444
0,2025-01-06,high,1,0.2,ANET C GOOGL IONQ KTOS,0.5,-1.3316040917985883
0,2025-02-06,high,1,0.2,ADP BAC BSX C COST,0.5,-0.4003180187859834
0,2025-03-10,high,1,0.2,,0.0,0.0
0,2025-04-08,high,1,0.2,,0.0,0.0
0,2025-05-08,high,1,0.2,,0.0,0.0
0,2025-06-09,high,1,0.2,IBM KTOS LEU MP MSFT,0.5,-0.8837063705896653
0,2025-07-10,high,1,0.2,BLK COIN EMR GEV HOOD,0.5,-0.02115719948905248
0,2025-08-08,high,1,0.2,AVGO BLK GILD HOOD JNJ,0.5,-0.20683043810825197
0,2025-09-09,high,1,0.2,C GOOGL GS HOOD MDT,0.5,-0.5039831525969762
0,2025-10-08,high,1,0.2,ANET ASTS AVAV CAT CEG,0.5,0.6564219431899776
0,2025-11-06,high,1,0.2,CWEN DDOG GOOGL LLY MU,0.5,0.330404210416102
0,2025-12-08,high,1,0.2,C GS MDB MS TER,0.5,0.12895184734000864
0,2026-01-08,high,1,0.2,F GM GOOGL HII LHX,0.5,0.17390136702581938
0,2026-02-09,high,1,0.2,ABBNY C CAT COP CVX,0.5,-0.42508045804170447
0,2026-03-11,high,1,0.2,CVX MPC OXY VLO VRT,0.5,0.739580798320083
0,2026-04-10,high,1,0.2,AMAT APD BEP CAT CWEN,0.5,-0.5573704940568636
0,2026-05-11,high,1,0.2,ABBNY AMAT AMD APD CGNX,0.5,-0.5941498175745408
0,2026-06-10,high,1,0.2,KO TJX CVS KLAC AMAT,0.5,1.4673413303004423
0,2026-07-13,high,1,0.2,AAPL CVS ELV KO MPC,0.5,-0.33562481167259683
0,2016-06-30,momentum,1,0.2,NVDA AMD AMZN ALB HII,0.5,0.13335846514868077
0,2016-08-01,momentum,1,0.2,AMD NVDA ALB HII KLAC,0.5,-0.8030477261186109
0,2016-08-30,momentum,1,0.2,AMD NVDA DHR ALB AMAT,0.5,-0.47352744054920404
